model,fold,n_train,n_val,accuracy,precision_macro,recall_macro,f1_macro,roc_auc
LR,1,2340,576,0.6024,0.5945,0.615,0.58,0.6641
LR,2,2322,594,0.6801,0.6309,0.6593,0.6334,0.7027
LR,3,2340,576,0.6233,0.5975,0.6238,0.5878,0.6948
LR,4,2340,576,0.6806,0.6226,0.6556,0.6248,0.6792
LR,5,2322,594,0.6061,0.6058,0.6085,0.6035,0.6755
RF,1,2340,576,0.6545,0.6136,0.6318,0.6148,0.656
RF,2,2322,594,0.6936,0.6416,0.6705,0.6459,0.6847
RF,3,2340,576,0.6545,0.6248,0.6577,0.6194,0.7279
RF,4,2340,576,0.6684,0.6059,0.6331,0.6074,0.6764
RF,5,2322,594,0.67,0.6612,0.6605,0.6608,0.7068
XGB,1,2340,576,0.6528,0.6124,0.6306,0.6133,0.6542
XGB,2,2322,594,0.6582,0.6123,0.6383,0.612,0.6788
XGB,3,2340,576,0.651,0.6256,0.6596,0.6182,0.7208
XGB,4,2340,576,0.651,0.5965,0.624,0.5946,0.6801
XGB,5,2322,594,0.6717,0.6624,0.6526,0.6544,0.6972
