model,threshold,accuracy,precision_macro,recall_macro,f1_macro,f1_failure,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp,train_dataset,test_dataset
LR,0.5,0.5539,0.6394,0.5371,0.4419,0.1919,0.6573,0.6433,0.0359,0.8898,2119,79,1808,224,sst2,svamp
RF,0.5,0.5972,0.6743,0.5831,0.5285,0.3486,0.7019,0.6792,0.0582,0.7756,2070,128,1576,456,sst2,svamp
XGB,0.5,0.6194,0.694,0.6063,0.5641,0.409,0.7309,0.7337,0.0614,0.7259,2063,135,1475,557,sst2,svamp
LR,0.5,0.6891,0.6411,0.6521,0.6448,0.5193,0.6961,0.4735,0.2554,0.4403,2880,988,730,928,sst2,squad
RF,0.5,0.7087,0.6372,0.5992,0.6045,0.4015,0.6924,0.4712,0.1272,0.6743,3376,492,1118,540,sst2,squad
XGB,0.5,0.719,0.6576,0.6371,0.6438,0.4801,0.7146,0.5094,0.1582,0.5676,3256,612,941,717,sst2,squad
LR,0.5,0.6626,0.568,0.5597,0.5616,0.3513,0.586,0.375,0.2002,0.6803,7259,1817,2471,1161,svamp,sst2
RF,0.5,0.6792,0.5798,0.563,0.565,0.3421,0.6314,0.395,0.1658,0.7081,7571,1505,2572,1060,svamp,sst2
XGB,0.5,0.6756,0.5714,0.5548,0.5555,0.3245,0.623,0.3861,0.1631,0.7274,7596,1480,2642,990,svamp,sst2
LR,0.5,0.7056,0.6363,0.6114,0.6174,0.4337,0.6954,0.4934,0.1531,0.6242,3276,592,1035,623,svamp,squad
RF,0.5,0.7148,0.6486,0.6155,0.6225,0.4359,0.6978,0.4961,0.1362,0.6327,3341,527,1049,609,svamp,squad
XGB,0.5,0.7119,0.6443,0.6129,0.6196,0.4322,0.7005,0.5051,0.1396,0.6345,3328,540,1052,606,svamp,squad
LR,0.5,0.6133,0.5728,0.5854,0.5705,0.4348,0.6191,0.3734,0.3495,0.4796,5904,3172,1742,1890,squad,sst2
RF,0.5,0.659,0.5663,0.5597,0.5615,0.3547,0.624,0.3766,0.2086,0.6721,7183,1893,2441,1191,squad,sst2
XGB,0.5,0.6228,0.5703,0.5799,0.5706,0.4209,0.6295,0.3898,0.3199,0.5204,6173,2903,1890,1742,squad,sst2
LR,0.5,0.6636,0.6725,0.6673,0.662,0.6852,0.731,0.7125,0.4277,0.2377,1258,940,483,1549,squad,svamp
RF,0.5,0.6527,0.6924,0.643,0.6246,0.522,0.7285,0.7389,0.1087,0.6053,1959,239,1230,802,squad,svamp
XGB,0.5,0.6771,0.6767,0.6757,0.6758,0.6556,0.7343,0.7413,0.2884,0.3602,1564,634,732,1300,squad,svamp
